pitcher,pitcher_name,p_throws,height,shoulder_pos,release_pos_x,release_pos_z,arm_angle,arm_angle_type
670871,Guillermo Zuñiga,R,77.0,53.9,-24.516000000000002,71.15733333333333,54.69301796884151,High Three-Quarters
670950,Trevor Richards,R,74.0,51.8,-27.334545454545452,75.70818181818181,48.76992369669982,High Three-Quarters
670955,Edwin Uceta,R,72.0,50.4,-23.491525423728813,56.786440677966105,74.77462470014694,Low Three-Quarters
670970,Adrian Morejon,L,71.0,49.699999999999996,28.080621761658033,69.89844559585492,54.01526078665806,High Three-Quarters
670990,Yohan Ramírez,R,76.0,53.2,-35.606,62.205714285714286,75.76534167745214,Low Three-Quarters
671096,Andrew Abbott,L,72.0,50.4,20.032325581395348,70.53249169435216,44.83124895833246,High Three-Quarters
671106,Logan Allen,L,72.0,50.4,23.461244364292156,64.62070333633905,58.71115609536259,High Three-Quarters
671111,Sammy Peralta,L,74.0,51.8,31.8,55.714285714285715,82.86520908126997,Low Three-Quarters
671131,Jackson Rutledge,R,80.0,56.0,-17.76,75.32571428571428,42.53055753261434,High Three-Quarters
671212,Joe Boyle,R,79.0,55.3,-7.687783783783784,75.64864864864865,20.697008818742564,Overhand
671345,Jason Foley,R,76.0,53.199999999999996,-21.01608938547486,67.8677094972067,54.97215218760561,High Three-Quarters
671737,Taj Bradley,R,74.0,51.8,-16.76894639556377,73.45907578558226,37.71401826279701,High Three-Quarters
671922,Cade Smith,R,77.0,53.9,-32.541447963800906,68.46407239819004,65.57884092565612,Low Three-Quarters
672282,Reid Detmers,L,74.0,51.8,17.38234332425068,74.0667029972752,37.90438605045129,High Three-Quarters
672335,Cionel Pérez,L,72.0,50.4,18.3675,66.48100000000001,48.701438144237486,High Three-Quarters
672456,Keider Montero,R,73.0,51.1,-28.433103448275862,68.95586206896552,57.63452658756016,High Three-Quarters
672552,Jack O'Loughlin,L,77.0,53.9,16.709473684210526,70.7421052631579,44.466315192805375,High Three-Quarters
672578,Carlos Hernández,R,76.0,53.199999999999996,-15.757297297297297,71.73891891891893,40.01706731562424,High Three-Quarters
672582,Angel Zerpa,L,72.0,50.4,30.380894117647056,64.63990588235293,64.75927015360685,Low Three-Quarters
672710,Roansy Contreras,R,73.0,51.099999999999994,-11.097612732095492,71.14631299734748,28.831643113398833,Overhand
672782,Yoendrys Gómez,R,75.0,52.5,-19.21846153846154,65.21538461538461,56.530537109115514,High Three-Quarters
672851,Joan Adon,R,74.0,51.8,-24.445,69.92333333333335,53.396507564543214,High Three-Quarters
672860,Prelander Berroa,R,71.0,49.699999999999996,-10.44,73.245,23.904009170349525,Overhand
673380,Dedniel Núñez,R,74.0,51.8,-27.431650485436894,66.14504854368931,62.349431341523555,Low Three-Quarters
673513,Yuki Matsui,L,68.0,47.599999999999994,24.852158590308367,71.76343612334801,45.71017301929535,High Three-Quarters
673929,Jordan Leasure,R,75.0,52.5,-16.796394849785408,70.91587982832618,42.30306606272479,High Three-Quarters
674003,Cody Bradford,L,76.0,53.199999999999996,7.2602247191011235,74.34202247191011,19.007282290787916,Overhand
674072,Tommy Henry,L,75.0,52.5,20.894519572953737,69.3817793594306,51.04957973745665,High Three-Quarters
674285,Eduardo Salazar,R,74.0,51.8,-23.86933333333333,66.63466666666666,58.12029743645728,High Three-Quarters
674370,Osvaldo Bido,R,75.0,52.5,-28.880000000000003,70.20210526315789,58.485927955205405,High Three-Quarters
675540,Xzavion Curry,R,72.0,50.39999999999999,-15.733521126760564,72.05352112676056,35.8319967192873,High Three-Quarters
675627,Michael Grove,R,75.0,52.5,-8.461219963031423,71.28709796672828,24.110681535263875,Overhand
675911,Spencer Strider,R,72.0,50.39999999999999,-21.132134831460675,71.13168539325844,45.49373996274923,High Three-Quarters
675921,Spencer Howard,R,75.0,52.5,-27.274105263157896,73.2562105263158,52.706126307771996,High Three-Quarters
675989,Cody Bolton,R,74.0,51.8,-30.641574803149606,64.76409448818899,66.70619911698533,Low Three-Quarters
676083,Janson Junk,R,74.0,51.79999999999999,-12.426534653465346,68.83722772277228,36.21482035768285,High Three-Quarters
676092,Collin Snider,R,76.0,53.199999999999996,-38.81,62.138333333333335,77.00466166306165,Low Three-Quarters
676106,Emerson Hancock,R,76.0,53.199999999999996,-21.779363957597173,66.53109540636042,58.42870621557961,High Three-Quarters
676130,José Buttó,R,73.0,51.099999999999994,-28.58543778801843,63.57585253456221,66.36678525719798,Low Three-Quarters
676254,Ryan Walker,R,74.0,51.8,-42.17009487666034,62.53480075901328,75.69149817492826,Low Three-Quarters
676272,Bobby Miller,R,77.0,53.9,-19.271250000000002,71.90785714285714,46.86125248053624,High Three-Quarters
676395,Robert Garcia,L,76.0,53.199999999999996,44.172781065088756,67.04414201183431,72.57603807798371,Low Three-Quarters
676440,Tanner Bibee,R,74.0,51.8,-28.465038167938932,75.15755725190839,50.44977404956609,High Three-Quarters
676477,Garrett Whitlock,R,77.0,53.89999999999999,-16.143177570093457,65.57196261682243,54.01671571793324,High Three-Quarters
676534,Calvin Faucher,R,73.0,51.099999999999994,-11.397359413202935,71.81486552567237,28.79825834398415,Overhand
676568,Ricky Vanasco,R,75.0,52.5,-20.735999999999997,68.808,51.738004703052994,High Three-Quarters
676596,Josh Fleming,L,74.0,51.8,32.31665706051873,65.11608069164265,67.56462857022834,Low Three-Quarters
676617,Riley O'Brien,R,76.0,53.199999999999996,-22.247142857142855,67.72285714285714,56.80115137233191,High Three-Quarters
676664,JP Sears,L,71.0,49.699999999999996,17.5427027027027,54.88551002615519,73.07931861665489,Low Three-Quarters
676680,Tom Cosgrove,L,74.0,51.8,32.66671875,57.0421875,80.70268957487272,Low Three-Quarters
676684,Will Vest,R,72.0,50.4,-29.716626506024095,66.88134939759036,60.93117729281377,Low Three-Quarters
676702,Hunter Stratton,R,76.0,53.199999999999996,-15.351966527196652,71.98016736401674,39.229330643446886,High Three-Quarters
676710,Kutter Crawford,R,73.0,51.099999999999994,-13.554545454545455,72.78717171717172,32.028592227340475,High Three-Quarters
676714,Brandon Hughes,L,74.0,51.8,30.154513274336285,64.31575221238938,67.39913433520238,Low Three-Quarters
676760,Ron Marinaccio,R,74.0,51.8,-35.266285714285715,64.60457142857142,70.00263637772596,Low Three-Quarters
676775,Keaton Winn,R,76.0,53.199999999999996,-17.63257065948856,74.5450336473755,39.55073277782216,High Three-Quarters
676879,Aaron Ashby,L,73.0,51.099999999999994,12.930697674418605,78.30837209302327,25.39464367171898,Overhand
