pitcher,pitcher_name,p_throws,pitch_type,height,shoulder_pos,release_pos_x,release_pos_z,arm_angle
661527,Seth Martinez,R,FF,74.0,51.8,-28.449411764705882,53.31294117647059,86.90677940878545
661527,Seth Martinez,R,SI,74.0,51.8,-27.94909090909091,53.189454545454545,87.09918347791908
661527,Seth Martinez,R,ST,74.0,51.8,-29.60795031055901,54.28546583850931,85.15742750808403
661563,Luis Gil,R,CH,74.0,51.79999999999999,-34.69171597633136,64.5287573964497,69.79852603159496
661563,Luis Gil,R,FC,74.0,51.8,-34.56,67.56,65.48753340706821
661563,Luis Gil,R,FF,74.0,51.8,-32.551941176470585,69.77576470588235,61.046438049360574
661563,Luis Gil,R,SL,74.0,51.8,-33.957692307692305,67.92923076923077,64.546931734377
662253,Andrés Muñoz,R,FF,74.0,51.79999999999999,-26.17837837837838,62.69405405405406,66.21339604159368
662253,Andrés Muñoz,R,SI,74.0,51.8,-30.782222222222224,60.07222222222222,74.35955792078754
662253,Andrés Muñoz,R,SL,74.0,51.8,-24.955317073170733,62.33678048780487,66.48389623618328
663158,Robert Suarez,R,CH,74.0,51.8,-15.750967741935483,72.58451612903225,37.13850947247884
663158,Robert Suarez,R,FF,74.0,51.8,-13.627916666666668,75.21708333333333,30.15305244150646
663158,Robert Suarez,R,SI,74.0,51.8,-13.530000000000001,74.55,30.723505965198346
663321,Nick Hernandez,R,FF,73.0,51.099999999999994,-27.39,68.22,57.97790621848976
663321,Nick Hernandez,R,SL,73.0,51.099999999999994,-30.384000000000004,69.696,58.51238768468659
663362,Matt Waldron,R,FC,74.0,51.8,-17.81714285714286,66.16,51.019095867675844
663362,Matt Waldron,R,FF,74.0,51.8,-17.576842105263157,66.87293233082707,49.2312574290764
663362,Matt Waldron,R,KN,74.0,51.8,-15.101154734411086,67.3158429561201,44.03056831027
663362,Matt Waldron,R,SI,74.0,51.8,-17.674772727272725,66.01022727272726,51.076109650741905
663362,Matt Waldron,R,ST,74.0,51.8,-18.599464285714284,65.41660714285715,53.577858198644336
663372,Ryan Feltner,R,CH,76.0,53.199999999999996,-16.418443113772454,67.02035928143712,49.85680478372649
663372,Ryan Feltner,R,CU,76.0,53.199999999999996,-15.12,67.55684210526316,46.389176873368676
663372,Ryan Feltner,R,FF,76.0,53.199999999999996,-16.26692874692875,67.23154791154792,49.16107376568932
663372,Ryan Feltner,R,SI,76.0,53.199999999999996,-16.097391304347827,66.89391304347826,49.54472709749689
663372,Ryan Feltner,R,SL,76.0,53.199999999999996,-16.904137931034484,67.11034482758622,50.46587413403871
663423,Trent Thornton,R,CH,72.0,50.4,-30.025714285714287,61.19142857142857,70.07449939430819
663423,Trent Thornton,R,CU,72.0,50.4,-25.250999999999998,66.312,57.703426927777514
663423,Trent Thornton,R,FF,72.0,50.4,-24.49904761904762,65.20571428571428,58.60726097270742
663423,Trent Thornton,R,SI,72.0,50.4,-24.735000000000003,65.23714285714286,58.92760863950781
663423,Trent Thornton,R,SL,72.0,50.4,-28.71046153846154,63.29076923076923,65.69369371330627
663423,Trent Thornton,R,ST,72.0,50.4,-32.711278195488724,57.602706766917294,77.5293643444863
663432,Tanner Rainey,R,CH,74.0,51.8,-34.41230769230769,70.04307692307692,62.06927372947276
663432,Tanner Rainey,R,FF,74.0,51.79999999999999,-34.99132075471698,72.4477358490566,59.45247247226
663432,Tanner Rainey,R,SL,74.0,51.8,-35.951186440677965,71.31457627118645,61.497174841881986
663462,Isaiah Campbell,R,FF,76.0,53.199999999999996,-22.425882352941176,79.16470588235293,40.748666538258384
663462,Isaiah Campbell,R,SI,76.0,53.199999999999996,-21.42,78.42,40.334396562088074
663462,Isaiah Campbell,R,SL,76.0,53.199999999999996,-25.10222222222222,78.22,45.01109998257998
663462,Isaiah Campbell,R,ST,76.0,53.199999999999996,-28.03,76.54,50.158333136939056
663474,Triston McKenzie,R,CU,77.0,53.9,-23.05138686131387,77.76,44.012585781091204
663474,Triston McKenzie,R,FF,77.0,53.9,-19.484014598540146,77.92686131386861,39.02479816389532
663474,Triston McKenzie,R,SL,77.0,53.9,-22.55611111111111,77.80611111111111,43.31995964142009
663485,Cole Sands,R,CU,75.0,52.5,-32.13362637362637,67.40967032967033,65.10708818362345
663485,Cole Sands,R,FC,75.0,52.5,-30.795398230088498,69.86548672566371,60.57812949761076
663485,Cole Sands,R,FF,75.0,52.5,-30.34777777777778,70.39222222222222,59.42938257953262
663485,Cole Sands,R,FS,75.0,52.5,-31.24296296296296,69.09333333333333,62.03894555782268
663485,Cole Sands,R,SI,75.0,52.5,-31.161,69.048,62.04295091112937
663531,Logan Allen,L,CU,75.0,52.5,16.704,74.4,37.391337164039626
