id,fullName
31364,Justin Miller
31373,Matt Lipka
31376,Didi Gregorius
31384,Chris Dominguez
31385,Robbie Grossman
31386,Bengie Gonzalez
31387,Danny Santana
31389,Christian Vazquez
31392,Joc Pederson
31399,Randal Grichuk
31402,Jedd Gyorko
31410,Juan Lagares
31413,Kole Calhoun
31416,Sharlon Schoop
31431,Jeremy Barfield
31443,Juan Centeno
31444,Aderlin Rodriguez
31446,Kevin Kiermaier
31455,Brian Moran
31462,Drew Hutchison
31465,Luis Avilan
31470,Darin Ruf
31474,Abraham Almonte
31475,Pat Venditte
31477,John Ryan Murphy
31478,Khris Davis
31495,Brad Boxberger
31497,Jacob Blackwood
31499,Jarrett Parker
31512,Luis Vasquez
31513,Tony Watson
31540,Nick Vincent
31549,Will Smith
31554,Chase Austin
31556,Jared Hughes
31557,Alex Wilson
31560,Isaac Galloway
31562,Cody Decker
31564,Jose Flores
31588,Leonys Martin
31591,Brad Peacock
31593,Tanner Roark
31595,A.J. Cole
31599,Erik Davis
31601,Zac Rosscup
31606,Xander Bogaerts
31615,Oliver Drake
31618,Mychal Givens
31647,Tyler Ladendorf
31648,Kaleb Cowart
31650,Peter Tago
31654,Jake Odorizzi
31659,Cristhian Adames
31662,Jose Altuve
31666,Roberto A. Pena
31667,Slade Heathcott
31668,Marcell Ozuna
31670,Mark Canha
31673,Jose Cisnero
31678,Daniel Corcino
31681,Cito Culver
31682,Cheslor Cuthbert
31684,Corey Dickerson
31687,Jeurys Familia
31697,David Freitas
31700,K.C. Hobson
31706,Tommy Milone
31708,Justin Nicolino
31716,Cam Bedrosian
31722,Austin Brice
31728,Andrelton Simmons
31730,Noah Syndergaard
31733,Daniel Webb
31734,Asher Wojciechowski
31737,Jorge Alfaro
31748,Stetson Allie
31749,Luke Jackson
31753,Justin Grimm
31755,Liam Hendriks
31756,Kyle Lobstein
31758,Christian Bethancourt
31762,Jesse Biddle
31768,Madison Younginer
31769,Ryan Brett
31770,Michael Ynoa
31779,Jiman Choi
31780,Zach Collier
31784,Derek Dietrich
31791,Robbie Erlin
31797,Buddy Baumann
31799,Preston Guilmet
31803,Tim Melville
31806,Zach Neal
31811,Cameron Rupp
31815,Dallas Keuchel
31816,Drew Smyly
31818,Kellin Deglan
31819,Mike Foltynewicz
31821,Parker Frazier
31824,Ben Gamel
31825,Anthony Garcia
31826,Perci Garner
31828,Justin O'Conner
31832,Ismael Guillon
31833,Rafael Ortega
31839,Johnny Hellweg
31840,Heath Hembree
31842,Jake Petricka
31844,Tony Wolters
31846,Alex Wimmers
31848,Mason Williams
31856,Joe Wieland
31864,Taijuan Walker
31867,Tommy Kahnle
31870,Max Kepler
31871,Mike Kickham
31873,Christian Villanueva
31874,Nick Kingham
31876,Yordano Ventura
31878,Vince Velasquez
31883,Ian Krol
31887,Tyler Thornburg
31893,Marcus Littlewood
31898,Matt Magill
31910,Bryan Mitchell
31923,Rob Mitchell Segedin
31931,Domingo Santana
31932,Keyvius Sampson
31933,Rangel Ravelo
31938,Drew Robinson
31939,Wilking Rodriguez
31942,Enny Romero
31944,Eddie Rosario
31945,Trevor Rosenthal
31949,Josh Sale
31958,Deck McGuire
31961,Bryan Holaday
31973,Jonathan Villar
31976,Jarret Robert Martin
31980,James Paxton
31983,Erasmo Ramirez
31987,Chris Rusin
31988,Jonathan Schoop
31992,Joe Kelly
31993,Audry Perez
31998,Chris Herrmann
32005,Brooks Raley
32014,Trevor Bauer
32019,Andy Burns
32021,Peter Mooney
32023,Danny Hultzen
32029,Kelvin Herrera
32030,Lucas Luetge
32046,James McCann
32049,Curt Casali
32051,Robbie Charles Ross Jr.
32055,Yu Darvish
32056,Jett Bandy
32058,Matt Shoemaker
32061,Kolten Wong
32062,Andrew Susac
32068,Adam Eaton
32070,Sean Gilmartin
32075,Sam Freeman
32078,George Springer
32080,Yoenis Cespedes
32081,Gerrit Cole
32082,Sonny Gray
32087,Joe Panik
32094,Dylan Bundy
32095,Danny Salazar
32098,Anthony Rendon
32099,Jose Alvarez
32100,Evan Marshall
32101,Sandy Leon
32104,AJ Ramos
32105,Kyle Jensen
32106,Jose Quintana
32107,Ryan Tepera
32108,Yan Gomes
32114,Ali Solis
32116,Miles Mikolas
32119,Raul Alcantara
32120,Vicente Campos
32121,Nicky Delmonico
32123,Blake Swihart
32127,Javier Baez
32128,Dillon Maples
32129,Francisco Lindor
32131,Ronny Rodriguez
32132,Jesus Aguilar
32134,Robert Stephenson
32139,Levi Michael
32140,Nick Ramirez
32141,Mikie Mahtook
32145,Jason Adam
32146,Marcus Semien
32147,Matt Barnes
32150,Trevor Story
32151,Tyler Anderson
32152,Bubba Starling
32153,Jorge Bonifacio
32155,C.J. Cron
32156,Scott Barlow
32157,Adrian Houser
32159,Brandon Nimmo
32160,Domingo Tapia
32161,Tyler Austin
32163,Maikel Franco
32164,Luis Heredia
32167,Taylor Guerrieri
32168,Austin Hedges
32169,Cory Spangenberg
32170,Rougned Odor
32171,Kyle Crick
32172,Clayton Blackburn
32174,Brian Goodwin
32175,Robbie Ray
32177,J.T. Realmuto
32178,Jake Diekman
32179,Jake Elmore
32185,Blake Treinen
32190,Wilfredo Tovar
32192,Danny Muno
32193,Josh Adams
32201,Phillip Evans
32204,Stefen Romero
32206,Brad Miller
32210,Dalton Pompey
32211,Greg Garcia
32217,Tommy La Stella
32219,Michael A. Taylor
32227,Drew Maggi
32253,Anthony Phillips
32255,John Hicks
32260,Michael Reed
32264,Yolmer Sanchez
32265,Roberto Perez
32267,Heiker Meneses
32269,Brandon Drury
32273,Jon Berti
32280,Brett Nicholas
32291,Mike Wright Jr.
32296,Jason Krizan
32310,Mark Garrett Montgomery
32323,Jace Peterson
32329,Ryan Buchter
32335,Willy Garcia
